"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"iphone os 9",NA,NA,NA,NA,NA,NA,NA
"sm-j700","samsung","galaxy j7",2015,"June","250","5.5","versions: j700f (india, thailand); j700m (latam); j700h with no lte (south africa, pakistan, vietnam)
also known as samsung galaxy j7 duos with dual-sim card slots"
"sm-j200","samsung","galaxy j2",2015,"September","150","4.7","versions: j200f (uae, turkey); j200y (new zealand, taiwan); j200g (india, indonesia); j200h with no lte (south africa, kazakhstan); j200gu (philippines, malaysia, thailand)
also known as samsung galaxy j2 duos with dual-sim card slots"
"sm-g7102","samsung","galaxy grand 2",2014,"January","180","5.25","versions: samsung galaxy grand 2 g7105 (3g/lte)
also known as samsung galaxy grand 2 g7102 with dual-sim card slots
"
"sm-j710","samsung","galaxy j7 (2016)",2016,"April","270","5.5","versions: j710f, j710fn (emea); j710m (latam); j710h (south africa, pakistan, vietnam)
also known as samsung galaxy j7 (2016) duos with dual-sim card slots
asia/china model with 1080p display and 3 gb ram"
"f1f","oppo","f1",2016,"January","230","5",NA
"gt-n7100","samsung","galaxy note ii n7100",2012,"September","300","5.5",NA
"sm-g530","samsung","galaxy grand prime duos tv",2014,"October","150","5","also known as samsung galaxy grand prime duos tv g530bt"
"sm-a500","samsung","galaxy a5 duos",2014,"November","290","5","versions: a500f/ds, a500g/ds, a500h/ds, a500m/ds, a5000"
"sm-a700","samsung","galaxy a7 duos",2015,"February","370","5.5","versions: a7000, a7009, a700h, a700yd"
"sm-n900","samsung","galaxy note 3",2013,"September","420","5.7","versions: n9000 (3g); n9005 (3g/lte)
also known as samsung galaxy note iii; samsung galaxy note 3 n9002 with dual-sim card slots"
"asus t00j","asus","zenfone 5 a500cg",2014,"April","130","5",NA
"sm-n920","samsung","galaxy note5",2015,"August","530","5.7","versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
"lumia 520","nokia","lumia 520",2013,"April","70","4","versions: nokia lumia 521 rm-917 (t-mobile)"
"iris700",NA,NA,NA,NA,NA,NA,NA
"smart max 4.0 plus",NA,NA,NA,NA,NA,NA,NA
"iphone os 8","apple","watch series 2 38mm",2016,"September","650","1.5","- compatible with apple iphone 5 (or newer)"
"sm-j100","samsung","galaxy j1",2015,"February","110","4.3","versions: samsung j100f, j100fn, j100h, j100h/dd, j100h/ds, j100m, j100mu
also known as samsung galaxy j1 duos with dual-sim card slots"
"iris 600",NA,NA,NA,NA,NA,NA,NA
"smart max 4.0",NA,NA,NA,NA,NA,NA,NA
"gt-i9500","samsung","i9500 galaxy s4",2013,"April","320","5",NA
"iphone os 7","apple","ipad pro 9.7",2016,"March","690","9.7","supported lte networks
versions: apple ipad pro wi-fi + cellular (3g/lte); apple ipad pro wi-fi (wi-fi, w/o gps)"
"sm-a800","samsung","galaxy a8 (2016)",2016,"October",NA,"5.7","also known as samsung galaxy a8 duos (2016) with dual-sim card slots"
"sm-g900","samsung","galaxy s5 (usa)",2014,"April","480","5.1","versions: g900v (verizon); g900r4 (us cellular); g900p (sprint)"
"sm-n910","samsung","galaxy note 4 (usa)",2014,"Q4","550","5.7","versions: n910m (vodafone), n910v (verizon), n910a (at&t), n910t (t-mobile), n910p (sprint), n910r4 (us cellular)"
"sm-j500","samsung","galaxy j5",2015,"June","160","5","versions: j500fn (europe); j500f (hk, india, south africa, thailand); j500g (malaysia, indonesia); j500y (new zealand); j500m (latam)
also known as samsung galaxy j5 duos with dual-sim card slots"
"gt-i8552","samsung","galaxy win i8550",2013,"May","170","4.7","available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots"
"sm-e500","samsung","galaxy e5",2015,"February","240","5","versions: e500f, e500h, e500hq, e500m, e500f/ds, e500h/ds, e500m/ds
also known as samsung galaxy e5 duos with dual-sim card slots"
"iris510",NA,NA,NA,NA,NA,NA,NA
"iris708",NA,NA,NA,NA,NA,NA,NA
"smart 4g speedy 4.0 plus",NA,NA,NA,NA,NA,NA,NA
"gt-i9082","samsung","galaxy grand i9082",2013,"January","180","5","also known as samsung galaxy grand z i9082z for india"
"sm-g360","samsung","galaxy core prime",2014,"November","150","4.5","available as samsung galaxy core prime value edition g361 with android v5.1
also known as samsung galaxy win 2 duos tv g360bt for brazil; samsung galaxy core prime duos with dual-sim card slots"
"sm-a710","samsung","galaxy a7 (2016)",2015,"December","460","5.5","versions: a710f (europe); a710m (latin america); a710fd (southeast asia); a7100 (hong kong); a710y (taiwan)
also known as samsung galaxy a7 (2016) duos with dual-sim card slots"
"sm-a510","samsung","galaxy a5 (2016)",2015,"December","300","5.2","versions: a510f (europe); a510m (latin america); a510fd (southeast asia); a5100 (hong kong); a510y (taiwan)
also known as samsung galaxy a5 (2016) duos with dual-sim card slots"
"a33w","oppo","u701 ulike",2012,"June","80","4",NA
"iris 550","lava","iris 550q",2014,"April","150","5.5",NA
"sm-n9005","samsung","galaxy note 3",2013,"September","420","5.7","versions: n9000 (3g); n9005 (3g/lte)
also known as samsung galaxy note iii; samsung galaxy note 3 n9002 with dual-sim card slots"
"lumia 435 dual sim","microsoft","lumia 435 dual sim",2015,"February","70","4",NA
"true smart 5.0 slim",NA,NA,NA,NA,NA,NA,NA
"lumia 630","nokia","lumia 630",2014,"May","110","4.5","also known as nokia lumia 630 3g"
"gt-n5100","samsung","galaxy note 8.0",2013,"April","320","8","tablet with support for gsm voice communication, sms, and mms
also known as samsung galaxy note 510, samsung galaxy note 8 3g & wifi, samsung galaxy note 8.0 lte"
"iris360","lava","iris 360 music",2014,"August",NA,"3.5",NA
"lumia 625","nokia","lumia 625",2013,"August","160","4.7",NA
"iris800",NA,NA,NA,NA,NA,NA,NA
"lumia 640 lte","microsoft","lumia 640 lte dual sim",2015,"April","150","5",NA
"dtac phone joey jet 2",NA,NA,NA,NA,NA,NA,NA
"lenovo a2010","lenovo","a2010",2015,"September","70","4.5",NA
"lumia 920","nokia","lumia 920",2012,"November","210","4.5",NA
"asus z010d","asus","zenfone max zc550kl (2016)",2016,"May","170","5.5","also known as asus zenfone max zc550kl-6a076in"
"iris 810",NA,NA,NA,NA,NA,NA,NA
"1201","samsung","d880 duos",2007,"December","150","2.3",NA
"iris 870",NA,NA,NA,NA,NA,NA,NA
"star","samsung","galaxy star s5280",2013,"May","70","3","available as samsung galaxy star duos s5282 with dual-sim card slots"
"a11w","oppo","a53",2015,"December",NA,"5.5",NA
"lenovo a7000-a","lenovo","vibe k4 note",2016,"January","190","5.5","also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
"sm-g925","samsung","galaxy s6 edge",2015,"April","470","5.1","also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
"sm-e700","samsung","galaxy e7",2015,"February","270","5.5","versions: e7000, e7009, e700f, e700f/ds, e700h, e700h/dd, e700h/ds, e700m, e700m/ds
also known as samsung galaxy e7 duos with dual-sim card slots"
"lenny2",NA,NA,NA,NA,NA,NA,NA
"sm-g935","samsung","galaxy s7 edge",2016,"March","620","5.5","versions: g935 (usa); g935f (global); g935fd (southeast asia)
also known as samsung galaxy s7 edge duos with dual-sim card slots "
"smart 4g speedy 5.0 plus",NA,NA,NA,NA,NA,NA,NA
"sm-t116","samsung","i710",2007,"February","110","2.8","- samsung i718 - chinese version"
"computer",NA,NA,NA,NA,NA,NA,NA
"lumia 720","nokia","lumia 720",2013,"April","200","4.3","also known as nokia 720 rm-885"
"lumia 630 dual sim","nokia","asha 308",2012,"October","70","3","also known as nokia asha 3080, nokia asha 308 dual sim, nokia asha charme 308"
"lumia 1320","nokia","lumia 1320",2014,"January","210","6","rm-994 - global version
rm-995 - lta version
rm-996 version with hsdpa (21 mbps), hsupa (5.76 mbps)"
"i-mobile iq big2",NA,NA,NA,NA,NA,NA,NA
"a51f","oppo","u705t ulike 2",2012,"December","280","4.5",NA
"iris500",NA,NA,NA,NA,NA,NA,NA
"x9006","oppo","find 7a",2014,"March","370","5.5","also known as oppo find 7 fullhd, oppo find 7 fhd"
"sm-g355","samsung","galaxy core ii",2014,"July","130","4.5","also known as samsung galaxy core ii dual sim g355h
samsung galaxy core 2 dual sim"
